,city,st_short,st_long,county,city_alias
1519,Yabucoa,PR,Puerto Rico,YABUCOA,URB Santa Maria
1520,Yabucoa,PR,Puerto Rico,YABUCOA,URB Calvario
1521,Yabucoa,PR,Puerto Rico,YABUCOA,Repto Horizonte
1522,Yabucoa,PR,Puerto Rico,YABUCOA,URB Santa Elena
1523,Yabucoa,PR,Puerto Rico,YABUCOA,Valles De Yabucoa
1524,Yabucoa,PR,Puerto Rico,YABUCOA,Villa El Recreo
1525,Coamo,PR,Puerto Rico,COAMO,URB Las Fuentes De Coamo
1526,Coamo,PR,Puerto Rico,COAMO,Villa Tropical
1527,Coamo,PR,Puerto Rico,COAMO,Vistas De Coamo
1528,Coamo,PR,Puerto Rico,COAMO,Jard De Santa Ana
1529,Coamo,PR,Puerto Rico,COAMO,URB Las Aguilas
1530,Coamo,PR,Puerto Rico,COAMO,URB Monte Real
1531,Coamo,PR,Puerto Rico,COAMO,URB Paraiso De Coamo
1532,Coamo,PR,Puerto Rico,COAMO,Valle Escondido
1533,Coamo,PR,Puerto Rico,COAMO,Alts De Coamo
1534,Coamo,PR,Puerto Rico,COAMO,Jard De Coamo
1535,Coamo,PR,Puerto Rico,COAMO,URB El Eden
1536,Coamo,PR,Puerto Rico,COAMO,URB Provincias Del Rio 2
1537,Coamo,PR,Puerto Rico,COAMO,Vista Del Sol
1538,Coamo,PR,Puerto Rico,COAMO,Est De Coamo
1539,Coamo,PR,Puerto Rico,COAMO,Ext Jard De Coamo
1540,Coamo,PR,Puerto Rico,COAMO,Haciendas Monterrey
1541,Coamo,PR,Puerto Rico,COAMO,URB Vistamar
1542,Coamo,PR,Puerto Rico,COAMO,Villa Cristina
1543,Coamo,PR,Puerto Rico,COAMO,Villa Madrid
1544,Coamo,PR,Puerto Rico,COAMO,Parc Niagara
1545,Coamo,PR,Puerto Rico,COAMO,Paseo Real
1546,Coamo,PR,Puerto Rico,COAMO,URB El Mirador
1547,Coamo,PR,Puerto Rico,COAMO,Coamo
1548,Coamo,PR,Puerto Rico,COAMO,Bda San Antonio
1549,Coamo,PR,Puerto Rico,COAMO,Mans De Coamo
1550,Coamo,PR,Puerto Rico,COAMO,URB Coamo Gdns
1551,Coamo,PR,Puerto Rico,COAMO,URB El Bosque
1552,Coamo,PR,Puerto Rico,COAMO,URB La Arboleda
1553,Coamo,PR,Puerto Rico,COAMO,URB Provincias Del Rio 1
1554,Coamo,PR,Puerto Rico,COAMO,URB San Antonio
1555,Coamo,PR,Puerto Rico,COAMO,URB Bella Vista Est
1556,Coamo,PR,Puerto Rico,COAMO,Valle Arriba
1557,Coamo,PR,Puerto Rico,COAMO,Villa Santa Catalina
1558,Coamo,PR,Puerto Rico,COAMO,Est De Hucar
1559,Coamo,PR,Puerto Rico,COAMO,Hacienda Miraflores
1560,Coamo,PR,Puerto Rico,COAMO,URB Monte Flores
1561,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Est Del Rocio
1562,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB Camino Sereno
1563,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB Oriente
1564,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB Park Hurst
1565,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Valle Piedras
1566,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Portales De Las Piedras
1567,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB Campo Real
1568,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB La Estancia
