,city,link,state,title
37,['Burlington'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=best+nightlife&rflfq=1&num=10&uule=w+CAQQCFISCfM0mSjmpOeJEcmFk6lmSZz4&lsspp=CcCHTgqcgHZ2&rlt=Best+drinks&owsq=Burlington,+Connecticut+Restaurants&ved=2ahUKEwjI3vv_yYXuAhXbFVkFHRIZBekQ9s8CMAx6BAgAEBI",['Connecticut'],Best drinks
38,['Burlington'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=group-friendly+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCfM0mSjmpOeJEcmFk6lmSZz4&lsspp=CfL58LPveT2x&rlt=Group-friendly+dining&owsq=Burlington,+Connecticut+Restaurants&ved=2ahUKEwjI3vv_yYXuAhXbFVkFHRIZBekQ9s8CMA16BAgAEBQ",['Connecticut'],Group-friendly dining
39,['Burlington'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=cheap+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCfM0mSjmpOeJEcmFk6lmSZz4&lsspp=CS_TvfQM2dsE&rlt=Cheap+eats&owsq=Burlington,+Connecticut+Restaurants&ved=2ahUKEwjI3vv_yYXuAhXbFVkFHRIZBekQ9s8CMA56BAgAEBY",['Connecticut'],Cheap eats
40,['Canaan'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=takeout+food&rflfq=1&num=10&uule=w+CAQQCFISCWtv-QNRgueJEYyls2cPPb4S&lsspp=CeDGbfTmcC8_&rlt=Takeout&owsq=Canaan,+Connecticut+Restaurants&ved=2ahUKEwjgt4ywzIXuAhUFFFkFHSuOAu0Q9s8CMAV6BAgAEAQ",['Connecticut'],Takeout
41,['Canaan'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=Delivery+Food&rflfq=1&num=10&uule=w+CAQQCFISCWtv-QNRgueJEYyls2cPPb4S&lsspp=&rlt=Delivery&owsq=Canaan,+Connecticut+Restaurants&ved=2ahUKEwjgt4ywzIXuAhUFFFkFHSuOAu0Q9s8CMAZ6BAgAEAY",['Connecticut'],Delivery
42,['Canaan'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=warm+and+cozy+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCWtv-QNRgueJEYyls2cPPb4S&lsspp=CSo2Dwjdowcl&rlt=Cozy+restaurants&owsq=Canaan,+Connecticut+Restaurants&ved=2ahUKEwjgt4ywzIXuAhUFFFkFHSuOAu0Q9s8CMAd6BAgAEAg",['Connecticut'],Cozy restaurants
43,['Canaan'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=italian+restaurant&rflfq=1&num=10&uule=w+CAQQCFISCWtv-QNRgueJEYyls2cPPb4S&lsspp=CTaG-g9Nnds9&rlt=Italian+restaurants&owsq=Canaan,+Connecticut+Restaurants&ved=2ahUKEwjgt4ywzIXuAhUFFFkFHSuOAu0Q9s8CMAh6BAgAEAo",['Connecticut'],Italian restaurants
44,['Canaan'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=best+breakfast+with+kids&rflfq=1&num=10&uule=w+CAQQCFISCWtv-QNRgueJEYyls2cPPb4S&lsspp=CTdtBfrULaOJ&rlt=Breakfasts+with+kids&owsq=Canaan,+Connecticut+Restaurants&ved=2ahUKEwjgt4ywzIXuAhUFFFkFHSuOAu0Q9s8CMAl6BAgAEAw",['Connecticut'],Breakfasts with kids
45,['Canaan'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=pizza+restaurant&rflfq=1&num=10&uule=w+CAQQCFISCWtv-QNRgueJEYyls2cPPb4S&lsspp=CUme_O4yf6uD&rlt=Pizza+restaurants&owsq=Canaan,+Connecticut+Restaurants&ved=2ahUKEwjgt4ywzIXuAhUFFFkFHSuOAu0Q9s8CMAp6BAgAEA4",['Connecticut'],Pizza restaurants
46,['Canaan'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=best+breakfast&rflfq=1&num=10&uule=w+CAQQCFISCWtv-QNRgueJEYyls2cPPb4S&lsspp=CaM4Zklh8m6-&rlt=Best+breakfasts&owsq=Canaan,+Connecticut+Restaurants&ved=2ahUKEwjgt4ywzIXuAhUFFFkFHSuOAu0Q9s8CMAt6BAgAEBA",['Connecticut'],Best breakfasts
47,['Canaan'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=romantic+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCWtv-QNRgueJEYyls2cPPb4S&lsspp=CXfhzEUgT-2p&rlt=Romantic+restaurants&owsq=Canaan,+Connecticut+Restaurants&ved=2ahUKEwjgt4ywzIXuAhUFFFkFHSuOAu0Q9s8CMAx6BAgAEBI",['Connecticut'],Romantic restaurants
48,['Canaan'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=best+coffee&rflfq=1&num=10&uule=w+CAQQCFISCWtv-QNRgueJEYyls2cPPb4S&lsspp=CezcES7goo5p&rlt=Best+coffee&owsq=Canaan,+Connecticut+Restaurants&ved=2ahUKEwjgt4ywzIXuAhUFFFkFHSuOAu0Q9s8CMA16BAgAEBQ",['Connecticut'],Best coffee
49,['Canaan'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=american+restaurant&rflfq=1&num=10&uule=w+CAQQCFISCWtv-QNRgueJEYyls2cPPb4S&lsspp=CW1TaQV2tDH-&rlt=American+restaurants&owsq=Canaan,+Connecticut+Restaurants&ved=2ahUKEwjgt4ywzIXuAhUFFFkFHSuOAu0Q9s8CMA56BAgAEBY",['Connecticut'],American restaurants
50,['Canterbury'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=takeout+food&rflfq=1&num=10&uule=w+CAQQCFISCc8tufEFf-aJEYN_m93WJZDu&lsspp=CbLbveEBXh4i&rlt=Takeout&owsq=Canterbury,+Connecticut+Restaurants&ved=2ahUKEwj_zcfdzoXuAhXCVDUKHWnaAs0Q9s8CMAV6BAgAEAQ",['Connecticut'],Takeout
51,['Canterbury'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=Delivery+Food&rflfq=1&num=10&uule=w+CAQQCFISCc8tufEFf-aJEYN_m93WJZDu&lsspp=&rlt=Delivery&owsq=Canterbury,+Connecticut+Restaurants&ved=2ahUKEwj_zcfdzoXuAhXCVDUKHWnaAs0Q9s8CMAZ6BAgAEAY",['Connecticut'],Delivery
52,['Canterbury'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=best+breakfast+with+kids&rflfq=1&num=10&uule=w+CAQQCFISCc8tufEFf-aJEYN_m93WJZDu&lsspp=CV5_MGdK7z1i&rlt=Breakfasts+with+kids&owsq=Canterbury,+Connecticut+Restaurants&ved=2ahUKEwj_zcfdzoXuAhXCVDUKHWnaAs0Q9s8CMAd6BAgAEAg",['Connecticut'],Breakfasts with kids
53,['Canterbury'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=bar+and+grill&rflfq=1&num=10&uule=w+CAQQCFISCc8tufEFf-aJEYN_m93WJZDu&lsspp=CQzKEAOs9BzS&rlt=Bar+%26+grills&owsq=Canterbury,+Connecticut+Restaurants&ved=2ahUKEwj_zcfdzoXuAhXCVDUKHWnaAs0Q9s8CMAh6BAgAEAo",['Connecticut'],Bar & grills
54,['Canterbury'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=best+breakfast&rflfq=1&num=10&uule=w+CAQQCFISCc8tufEFf-aJEYN_m93WJZDu&lsspp=CW3Ms0x3nyTF&rlt=Best+breakfasts&owsq=Canterbury,+Connecticut+Restaurants&ved=2ahUKEwj_zcfdzoXuAhXCVDUKHWnaAs0Q9s8CMAl6BAgAEAw",['Connecticut'],Best breakfasts
55,['Canterbury'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=chinese+restaurant&rflfq=1&num=10&uule=w+CAQQCFISCc8tufEFf-aJEYN_m93WJZDu&lsspp=CYWpi17geEJI&rlt=Chinese+restaurants&owsq=Canterbury,+Connecticut+Restaurants&ved=2ahUKEwj_zcfdzoXuAhXCVDUKHWnaAs0Q9s8CMAp6BAgAEA4",['Connecticut'],Chinese restaurants
56,['Canterbury'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=cheap+restaurants+for+a+group&rflfq=1&num=10&uule=w+CAQQCFISCc8tufEFf-aJEYN_m93WJZDu&lsspp=Cfh4Q1bbF8Ie&rlt=Cheap+spots+for+groups&owsq=Canterbury,+Connecticut+Restaurants&ved=2ahUKEwj_zcfdzoXuAhXCVDUKHWnaAs0Q9s8CMAt6BAgAEBA",['Connecticut'],Cheap spots for groups
57,['Canterbury'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=cheap+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCc8tufEFf-aJEYN_m93WJZDu&lsspp=CU9IEKdEILw2&rlt=Cheap+eats&owsq=Canterbury,+Connecticut+Restaurants&ved=2ahUKEwj_zcfdzoXuAhXCVDUKHWnaAs0Q9s8CMAx6BAgAEBI",['Connecticut'],Cheap eats
